Dan,Datum (April),Tip objave,Format,Caption,Hashtags,Napomena
1,1.4.,Proizvod – novi dres,Foto (1 slika),"Novi model je tu. 👕 Koji je tvoj sljedeći dres? ⬇️ Link u biju.","#dresovi #footballdres #hrvatskifootball #nogomet #dresify",Objavi ujutro 10-11h
2,2.4.,Reel – kratki reveal,Reel (5-10s),"Ovaj je brzo otišao zadnji put... 👀 [ime dresа] dostupan — link u biju.","#footballfashion #dresovi #reels #hrvatska",Brzi zoom na dres
3,3.4.,Kupac – UGC / testimonial,Foto + Story,"Svaki tjedan novi vlasnici. Hvala @[korisnik] 🙏 Tvoje narudžbe nas motiviraju.","#dresify #zadovoljnakupac #dresovi",Repostaj foto od kupca
4,4.4.,Anketa (Story only),Story poll,"Što naručuješ sljedeće? 🤔 A) Messi  B) Ronaldo","—",Samo Story — engagement
5,5.4.,Proizvod – dječji set,Foto (1-2 slike),"Tata + sin. Ili samo sin. Svejedno izgleda brutalno. 👦⚽ Dječji set: dres + hlačice — 20€.","#djecjidrresovi #dresovi #poklonzadjecu #nogomet",Subota = obitelji online
6,6.4.,Meme / humor,Foto ili Reel,"Kad prijatelji pitaju gdje si kupio dres 😅 [tag prijatelja koji bi to nosio]","#footballmeme #dresovi #hrvatska #nogomethumor",Nedjelja = casual engagement
7,7.4.,Behind the scenes,Foto ili Reel kratki,"Pakiranje narudžbi za danas. Ako je tvoj tu — stiže ti uskoro 📦","#dresify #narudzba #dostava",Pakiranje = authentic
8,8.4.,Proizvod – retro dres,Foto,"Klasik koji nikad ne izlazi iz mode. 🕹️ Koji je tvoj najdraži retro dres?","#retrodresovi #retrojersey #footballnostalgija #dresovi",Retro = visok engagement
9,9.4.,Edukacija,Karusel (3-5 slajdova),"Kako odabrati veličinu dresa? Vodič za odrasle i djecu 👇","#dresovi #vodicvelikosti #footballdres",Karusel = save & share
10,10.4.,Reel – before/after,Reel,"Obična srijeda vs srijeda s novim dresom 😂⚽","#dresify #footballvibes #reels",Trending audio
11,11.4.,Giveaway najava,Foto + Story,"🎁 GIVEAWAY USKORO! Pratite nas da ne propustite — jedan dres po vašem izboru.","#giveaway #dresovi #dresify #footballgiveaway",Najavi 2-3 dana prije
12,12.4.,Giveaway objava,Foto,"🎁 GIVEAWAY! Osvoji dres po svom izboru (20€ vrijednost).\n\nKako sudjelovati:\n✅ Prati @dresify\n✅ Lajkaj ovu objavu\n✅ Tag 1 prijatelja u komentaru\n\nDobitnik se objavljuje u nedjelju 🙌","#giveaway #dresify #dresovi #poklondres #footballgiveaway",Objavi ujutro
13,13.4.,Proizvod – popularni dres,Foto,"Jedan od naših najprodavanijih modela. Znaš li koji je? ⬇️","#dresovi #bestseller #footballdres #dresify",Engagement pitanje
14,14.4.,UGC ili testimonial,Story + Objava,"'Dres stigao za 2 dana, kvaliteta 10/10' — hvala @[korisnik] 🙏","#dresify #recenzija #zadovoljnikupci",Screenshot WhatsApp recenzije
15,15.4.,Giveaway rezultat,Story + Objava,"I pobjednik je... @[korisnik] 🎉 Čestitke! Dres ide na put 📦\n\nSlijedeći giveaway uskoro — ostani s nama!","#giveaway #pobjednik #dresify",Tag pobjednika
16,16.4.,Proizvod – novi model,Foto,"Nije bio tu prošli tjedan. Sada jest. 👀 Novi model u katalogu — link u biju.","#dresovi #novimodel #footballdres #dresify",
17,17.4.,Reel – unboxing,Reel (15-30s),"POV: Tvoj dres je upravo stigao 📦⚽ [unboxing video]","#unboxing #dresify #dresovi #footballreels",Popularan format
